chembl_id,smiles,inchikey,n_groups,group_sizes
CHEMBL7541,COC(=O)C1=C(O)C(=O)N(Cc2ccccc2)C1,WUVITTIOKIBHOW-UHFFFAOYSA-N,8,3;2;2;1;1;1;1;1
CHEMBL7427,Nc1nc(N)c2cc(CNC(=O)c3ccc(Cl)c(Cl)c3)ccc2n1,RRTMRKLLOHPKRG-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL3310820,Cc1cccc(-c2nn3c(-c4ccco4)nnc3s2)c1,ZEDMWLCBAKQTSR-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL3310831,COc1cc2[nH]c(=O)n(CC(N)=O)c2cc1NS(=O)(=O)c1cccc(Cl)c1Cl,YUZGLBMXNPELSU-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL7863,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,UORJNBVJVRLXMQ-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL7481,Nc1nc(N)c2c(Cl)c(NC(=O)Cc3cccc(Br)c3)ccc2n1,WPQXUHSYYNHFNL-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8041,NC1=NC(c2cccs2)Cc2ccsc21,LSTQFUCKHDHNPQ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7882,CC(N)(CCCC(N)C(=O)O)C(=O)O,TVZGBXIJPFGQBJ-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL4553585,Cc1cc(C(=O)NCC(=O)Nc2ccccc2Br)on1,PHBJEMAAWSVLOA-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL7975,O=C(O)C1Cc2cc3c(-c4ccccc4F)noc3c(Br)c2O1,HBROVBDIORINMY-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL3311068,c1coc(-c2nnc3sc(-c4ccc5c(c4)OCO5)nn23)c1,YKZDHLPJIKLMDU-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL4553681,CCOC(=O)CN1C(=O)c2ccc(Br)cc2C1=O,QOQGVDUMTYUNOF-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL7888,NC(=O)c1ncn([C@H]2O[C@@H](CO)C[C@@H]2O)n1,XKNLIQRSVKDLAN-FOHZUACHSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7715,NC1=NC(c2ncc[nH]2)Cc2ccccc21,PYOAJTLPLZFISJ-UHFFFAOYSA-N,8,2;1;1;1;1;1;1;1
CHEMBL8001,O=C1OC(=O)C2CC=CCC12,KMOUUZVZFBCRAM-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL1163190,COC(=O)COc1ccccc1C,OMAUDUHRMMRHBV-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL4553662,CC(C)S(=O)(=O)N(C)C(=O)c1cc(Br)c2c(c1)OCO2,PZICZMQJCHTZKW-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL7890,COC(=O)[C@@H](N)CCCNC(=N)N[N+](=O)[O-],KCWZGJVSDFYRIX-YFKPBYRVSA-N,8,3;1;1;1;1;1;1;1
CHEMBL7891,NC1=NCCc2ccccc21,KFCJKQZKHMRYQF-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
