chembl_id,smiles,inchikey,n_groups,group_sizes
CHEMBL6370,Cc1ccc(Sc2cncc3sc(C(=O)O)cc23)cc1,XMFGQDABHQXFFK-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6398,CNC(=N)NCCCC(N)P(=O)(O)O,SGRXBUFWCPMGAO-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6790,Oc1ccc(/C(=C(/c2ccc(O)cc2)C(F)(F)F)C(F)(F)F)cc1,GTONMJMXHVMVIJ-BUHFOSPRSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6940,Nc1nc(N)c2cc(NC(=O)Cc3ccc(Cl)c(Cl)c3)ccc2n1,DMFIFRJKTMUJGR-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6618,Nc1nc(N)c2nc(Sc3ccc4ccccc4c3)cnc2n1,CQSNOLHCEIHDLG-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6620,COc1cc(C(F)(F)F)c(OC)cc1CC(C)N,WPGOTSORDNBMHP-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL6352,Cc1cc(Br)ccc1C(=O)c1ccc(-n2ncc(=O)[nH]c2=O)cc1Cl,OKZQSFTUAACQQS-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6626,Brc1ccc2[nH]c3c(c2c1)CCN=C3,PAHAIWFYCZHWKN-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL6798,O=C1Nc2ccccc2C12SCCS2,QAYGJICGCHGPFV-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL3309908,Nc1nc2ccc(Nc3ccccc3)cc2o1,MBWWALRCCGUJPC-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8584,COc1cc(C(=O)O)c(OC)cc1CC(C)N,FRWTXPXOPHGXDE-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL8336,COc1cc(CC(C)N)c(OC)cc1C#N,ULNMEZQBQBLXMC-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL8182,CC1(C(=O)O)C2CCC(O2)C1C(=O)O,XIUCRMDWTGSKBJ-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL8028,COc1cc(CC(C)N)c(OC)cc1N,YUGDRVMIVMZKEL-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL8166,Brc1ccc(-c2ccc(Br)cc2)cc1,HQJQYILBCQPYBI-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL8100,COc1cc(CC(C)N)c(OC)cc1Cl,ACRITBNCBMTINK-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL6943,CC(C)(C)OC(=O)C1=C(O)C(=O)N(Cc2cccs2)C1,WRRAQRHPSLHUMO-UHFFFAOYSA-N,8,9;1;1;1;1;1;1;1
CHEMBL6946,Nc1ccc(S(=O)(=O)Nc2ccccc2S(N)(=O)=O)cc1,MTYAYRDXCSXATC-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7571,CC(C)(C)C1CCc2nc(N)nc(N)c2C1,ZNQWFSHAFZBMJV-UHFFFAOYSA-N,8,9;1;1;1;1;1;1;1
CHEMBL3310859,CC(=O)Nc1ccc(S(=O)(=O)NNc2ccc(Br)c(F)c2)cc1,AWXCTQPLYRKQAR-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL39,NCCc1c[nH]c2ccc(O)cc12,QZAYGJVTTNCVMB-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7576,CC(C)[C@H](NC(=O)c1ccccc1Br)C(=O)O,NUBVVMYRSWGRBI-JTQLQIEISA-N,8,3;3;1;1;1;1;1;1
CHEMBL7783,NC(=O)C1Cc2cc3c(-c4ccccc4F)noc3c(Cl)c2O1,GGTYGIGWNWSMMO-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7785,O=C(O)C1Cc2cc3c(-c4cccc(F)c4)noc3c(Cl)c2O1,TXTVKSJYASPLGA-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7787,CC12CCC(C)(O1)C(C(=O)O)C2C(=O)O,LOIACBOKCRBDOQ-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL449,CCC(C)C1(CC)C(=O)NC(=O)NC1=O,ZRIHAIZYIMGOAB-UHFFFAOYSA-N,8,3;3;3;1;1;1;1;1
CHEMBL3310882,ON=C(c1ccccc1O)c1ccccc1O,MKFXLOAJVWVPGD-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL503634,COc1c(O)cc(O)c(C(=N)Cc2ccc(O)cc2)c1O,OPELSESCRGGKAM-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL504184,O=C(O)[C@H]1C[C@@H](O)CCN1,KRHNXNZBLHHEIU-CRCLSJGQSA-N,8,1;1;1;1;1;1;1;1
CHEMBL503623,Cc1cc2c(c(=O)[nH]1)C(=O)O/C2=C\c1cc2ccccc2s1,ZHWHAEPCMQSHKU-JYRVWZFOSA-N,8,3;1;1;1;1;1;1;1
CHEMBL501256,Nc1ncnc2c1ncn2CC(=O)c1cccnc1,REGWEYNSZPBUMQ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL507464,N#Cc1c(N)nc(Sc2ccc(O)cc2)c(C#N)c1-c1ccc(Cl)cc1,FLPZPZARJKZSQN-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL501136,COc1ccc(-c2nc3ccc(F)cc3o2)c(OC)c1,NXYWPSIXDZRKNY-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL7098,Cn1c2ccccc2n2c(=O)c(-c3ccco3)nnc12,GMLKSXNUABFTEI-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL6989,Cc1c(C(=O)NC(CCC(=O)O)C(=O)O)ccc2nc(N)nc(O)c12,DELHTCXMMIFCPQ-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL7011,Nc1nc(O)c2cc(C(=O)NC(CCC(=O)O)C(=O)O)ccc2n1,SSMOUEGPFAMXFY-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7327,Oc1ccc(-c2nnc3nc4ccccc4n3c2O)cc1,CIQGQJWQZMKOMM-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7102,Nc1nc(N)c2c(Cl)c(NC(=O)Cc3cccc(C(F)(F)F)c3)ccc2n1,KHVPEHRXPMOLTO-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL4116165,NCc1ccc(-c2ccoc2)c(Cl)c1,QCBBLYZCXYKKFL-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL1163173,O=c1[nH]c(-c2ccc(Cl)cc2)nc2ccccc12,AKHUKZJZNGHOJU-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL7105,CC1CCc2nc(N)nc(O)c2C1,HZVJFZZXNQLMQB-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL11397,COc1ccc(NC2=C(Cl)C(=O)c3cccnc3C2=O)cc1,ISSTVKYPBRJFIP-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL11510,OCC1NCC(O)C(O)C1O,LXBIFEVIBLOUGU-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL11471,CC(=N)NCCC[C@H](N)C(=O)O,UYZFAUAYFLEHRC-LURJTMIESA-N,8,3;1;1;1;1;1;1;1
CHEMBL11645,COc1ccc(NC2=C(Cl)C(=O)c3ccncc3C2=O)cc1,DMRNLJKRCVCUHO-UHFFFAOYSA-N,8,3;1;1;1;1;1;1;1
CHEMBL11608,NCCc1ccc(O)cc1,DZGWFCGJZKJUFP-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL11441,O=C(O)[C@@H]1CSC(c2nc3ccccc3cc2O)=N1,QRRFRAGEYYASIM-VIFPVBQESA-N,8,1;1;1;1;1;1;1;1
CHEMBL11931,COC(=O)Nc1nc2cc(C(=O)Nc3cccc(C)n3)ccc2[nH]1,MRASBNLXFYTVEX-UHFFFAOYSA-N,8,3;3;1;1;1;1;1;1
CHEMBL11566,O=C1c2cccc(O)c2C(=O)N1c1ccccc1,CXPJSDRRKGBSPZ-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL11614,O=C1c2cccc([N+](=O)[O-])c2C(=O)N1c1ccccc1,OMOHDUGKQSTKSR-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL11360,c1ccc(CSc2nc[nH]n2)cc1,IQQYSQRJFHUASD-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
CHEMBL11477,Nc1ccc2c(c1)C(=O)N(c1ccccc1)C2=O,NCBAEHTXQVTURB-UHFFFAOYSA-N,8,1;1;1;1;1;1;1;1
